"BILL OF MATERIAL WITH BETA STOCK, GROUPED BY VALUES, AS OF 09.10.2015"
"Part","Value","Device","Package","Description","Description2","Qty","Place_YES/NO","Povided_by_customer_YES/NO","Distributor","Ordernumber","Weblink","Remarks_customer","Unit_price","Total_price","REMARKS_BETA","OPTION1","OPTION2","OPTION3",
"C1, C3","8.2pF","CAP_CERAMIC_0402","_0402","Ceramic Capacitors"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"C2, C4, C7","15pF","CAP_CERAMIC_0402","_0402","Ceramic Capacitors"," ","3"," "," "," "," "," "," "," "," "," "," "," "," "
"C5, C6","DNP","CAP_CERAMIC_0402","_0402","Ceramic Capacitors"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"C8, C9, C10","100pF","CAP_CERAMIC_0402","_0402","Ceramic Capacitors"," ","3"," "," "," "," "," "," "," "," "," "," "," "," "
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20","100nF","CAP_CERAMIC_0402","_0402","Ceramic Capacitors"," ","10"," "," "," "," "," "," "," "," "," "," "," "," "
"C21","2.2µF","CAP_CERAMIC_0402","_0402","Ceramic Capacitors"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"C22, C23","18pF","CAP_CERAMIC_0402","_0402","Ceramic Capacitors"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"C24, C25","10µF","C-EUC0603K","C0603K","CAPACITOR, European symbol"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"C26, C27","0pF","CAP_CERAMIC_0402","_0402","Ceramic Capacitors"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"D2","GREEN","LEDCHIPLED_0603","CHIPLED_0603","LED"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"ESD1, ESD2","0.25pF","FERRITE_0603MP","_0603MP","Ferrite Bead"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"FB1, FB2"," ","FERRITE_0402","_0402","Ferrite Bead"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"L1","2.2µH","INDUCTOR1007","1007","Inductors"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"L2","220nH","INDUCTOR_0402","_0402","Inductors"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"L3","56nH","INDUCTOR_0402","_0402","Inductors"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"L4, L5","18nH","INDUCTOR_0402","_0402","Inductors"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"L6, L7","DNP","INDUCTOR_0402","_0402","Inductors"," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"R1, R4, R5, R6","10kO","RESISTOR_0402","_0402","Resistors"," ","4"," "," "," "," "," "," "," "," "," "," "," "," "
"R2, R9, R10","100kO","RESISTOR_0402","_0402","Resistors"," ","3"," "," "," "," "," "," "," "," "," "," "," "," "
"R3","240kO","RESISTOR_0402","_0402","Resistors"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U$74","M05","M05","M05_SIDE"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U1","SAM_D20E","SAM_D20E","QFN32_5MM"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U2","SI4060","SI4060","QFN20"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U3","UBLOX_MAX","UBLOX_MAX","UBLOX_MAX","UBLOX MAX"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U4","SST25WF040BT-40I/NP","SST25WF040BT-40I/NP","USON-8"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U5, U6","TG-5006CJ","TG-5006CJ","TC-5006CJ"," "," ","2"," "," "," "," "," "," "," "," "," "," "," "," "
"U7","TPS3123","TPS3123","SOT23-5"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U8","SN74LVC1G32DCKR","SN74LVC1G32DCKR","SOT65P210X110-5N","2-INPUT POSITIVE-OR GATE"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U9","SE880","SE880","SE880"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"U10","ADP1607ACPZN-R7","ADP1607ACPZN-R7","DFN200X200X60-7N","IC BOOST, 0.8-3.3V, 2MHZ, 1.8-3.3V, 6LFCSP"," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
"Y1","ABS05","ABS05","ABS05"," "," ","1"," "," "," "," "," "," "," "," "," "," "," "," "
